Pure Methane,,
T [K] ,P [Mpa],eta [µPa*s]
268.15,2.0000,10.402
268.15,4.0000,10.884
268.15,6.0000,11.561
268.15,6.0000,11.561
268.15,6.0000,11.561
268.15,8.0000,12.476
268.15,10.000,13.660
268.15,12.000,15.099
268.15,14.000,16.722
268.15,16.000,18.424
268.15,18.000,20.113
268.15,20.000,21.737
268.15,22.000,23.277
268.15,24.000,24.731
268.15,26.000,26.104
268.15,28.000,27.403
268.15,30.000,28.637
283.15,2.0000,10.888
283.15,4.0000,11.327
283.15,6.0000,11.916
283.15,6.0000,11.916
283.15,6.0000,11.916
283.15,8.0000,12.675
283.15,10.000,13.619
283.15,12.000,14.741
283.15,14.000,16.010
283.15,16.000,17.375
283.15,18.000,18.779
283.15,20.000,20.178
283.15,22.000,21.543
283.15,24.000,22.860
283.15,26.000,24.123
283.15,28.000,25.333
283.15,30.000,26.493
298.15,2.0000,11.365
298.15,4.0000,11.770
298.15,6.0000,12.293
298.15,6.0000,12.293
298.15,6.0000,12.293
298.15,8.0000,12.945
298.15,10.000,13.732
298.15,12.000,14.650
298.15,14.000,15.682
298.15,16.000,16.800
298.15,18.000,17.971
298.15,20.000,19.164
298.15,22.000,20.355
298.15,24.000,21.525
298.15,26.000,22.667
298.15,28.000,23.775
298.15,30.000,24.847
313.15,2.0000,11.834
313.15,4.0000,12.210
313.15,6.0000,12.682
313.15,6.0000,12.682
313.15,6.0000,12.682
313.15,8.0000,13.256
313.15,10.000,13.933
313.15,12.000,14.710
313.15,14.000,15.576
313.15,16.000,16.514
313.15,18.000,17.505
313.15,20.000,18.527
313.15,22.000,19.563
313.15,24.000,20.596
313.15,26.000,21.618
313.15,28.000,22.621
313.15,30.000,23.602
328.15,2.0000,12.295
328.15,4.0000,12.647
328.15,6.0000,13.078
328.15,6.0000,13.078
328.15,6.0000,13.078
328.15,8.0000,13.591
328.15,10.000,14.186
328.15,12.000,14.860
328.15,14.000,15.605
328.15,16.000,16.411
328.15,18.000,17.263
328.15,20.000,18.149
328.15,22.000,19.054
328.15,24.000,19.967
328.15,26.000,20.879
328.15,28.000,21.783
328.15,30.000,22.675
343.15,2.0000,12.748
343.15,4.0000,13.080
343.15,6.0000,13.477
343.15,6.0000,13.477
343.15,6.0000,13.477
343.15,8.0000,13.942
343.15,10.000,14.474
343.15,12.000,15.070
343.15,14.000,15.723
343.15,16.000,16.427
343.15,18.000,17.172
343.15,20.000,17.948
343.15,22.000,18.746
343.15,24.000,19.557
343.15,26.000,20.372
343.15,28.000,21.187
343.15,30.000,21.997
358.15,2.0000,13.194
358.15,4.0000,13.507
358.15,6.0000,13.877
358.15,6.0000,13.877
358.15,6.0000,13.877
358.15,8.0000,14.303
358.15,10.000,14.784
358.15,12.000,15.318
358.15,14.000,15.900
358.15,16.000,16.525
358.15,18.000,17.185
358.15,20.000,17.873
358.15,22.000,18.583
358.15,24.000,19.308
358.15,26.000,20.040
358.15,28.000,20.777
358.15,30.000,21.513
373.15,2.0000,13.633
373.15,4.0000,13.930
373.15,6.0000,14.276
373.15,6.0000,14.276
373.15,6.0000,14.276
373.15,8.0000,14.669
373.15,10.000,15.109
373.15,12.000,15.594
373.15,14.000,16.118
373.15,16.000,16.679
373.15,18.000,17.271
373.15,20.000,17.888
373.15,22.000,18.526
373.15,24.000,19.178
373.15,26.000,19.840
373.15,28.000,20.508
373.15,30.000,21.179
388.15,2.0000,14.064
388.15,4.0000,14.348
388.15,6.0000,14.673
