Author:,Betken et al.,,,,,,
Title:,Measurements of the Viscosity of Hydrogen and a (Hydrogen + Methane) Mixture with a Two-Capillary Viscometer,,,,,,
,,,,,,,
,,,atm to Mpa factor:,0.101325,,P to Pa*s factor:,0.1
0.896H2 + 0.104 CH4,,,,,,,
T [K] ,P [Mpa],eta [µPa*s],U_c(eta),,,,
298.15,2.98066,9.969,0.091,,,,
298.15,4.97202,10.027,0.092,,,,
298.15,7.53704,10.093,0.092,,,,
298.15,9.99638,10.17,0.13,,,,
298.15,12.0034,10.26,0.22,,,,
298.15,15.0051,10.41,0.30,,,,
323.16,2.94258,10.56,0.10,,,,
323.16,5.21809,10.60,0.11,,,,
323.16,7.98988,10.67,0.12,,,,
323.16,10.0855,10.67,0.15,,,,
323.16,12.3924,10.83,0.23,,,,
323.16,14.9937,10.89,0.35,,,,
348.16,3.82169,11.12,0.11,,,,
348.16,4.93312,11.13,0.11,,,,
348.13,6.24677,11.17,0.14,,,,
348.15,9.69118,11.22,0.15,,,,
348.16,12.5000,11.35,0.26,,,,
348.17,14.7506,11.39,0.28,,,,
