Author:,Chuang et al.,,,,,,
Title:,"Viscosity of methane, hydrogen, and four mixtures of methane and hydrogen from -100.degree.C to 0.degree.C at high pressures",,,,,,
,,,,,,,
,,,atm to Mpa factor:,0.101325,,P to Pa*s factor:,0.1
0.787H2 + 0.213CH4,,,,,,,
T [K] ,P [Mpa],eta [µPa*s],,,,,
273.15,0.407225175,9.905,,,,,
273.15,1.01325,9.915,,,,,
273.15,2.025588075,9.938,,,,,
273.15,4.04793375,10.023,,,,,
273.15,10.11659198,10.334,,,,,
273.15,20.23977008,11.021,,,,,
273.15,30.34693883,11.815,,,,,
273.15,40.45613408,12.649,,,,,
273.15,50.56370813,13.488,,,,,
223.15,0.4044894,8.530,,,,,
223.15,1.01264205,8.545,,,,,
223.15,2.025385425,8.562,,,,,
223.15,4.042968825,8.668,,,,,
223.15,10.1223675,9.096,,,,,
223.15,20.2382502,10.060,,,,,
223.15,30.3508905,11.087,,,,,
223.15,40.44215123,12.232,,,,,
223.15,50.5684704,13.282,,,,,
