Author:,Owuna et al.,,,,,,
Title:,Viscosity of Hydrogen and Methane Blends: Experimental and Modelling Investigations,,,,,,
,,,,,,,
,,,atm to Mpa factor:,0.101325,,P to Pa*s factor:,0.1
0.8CH4 + 0.2H2,,,,,,,
T [K] ,P [Mpa],eta [µPa*s],,,,,
323.33,29.35,19.29,,,,,
323.33,28.00,18.64,,,,,
323.33,25.19,17.95,,,,,
323.33,21.94,17.01,,,,,
323.33,19.25,16.33,,,,,
323.33,15.12,15.03,,,,,
323.33,15.12,14.90,,,,,
323.33,15.12,14.90,,,,,
323.33,11.21,13.87,,,,,
323.33,7.35,13.02,,,,,
323.33,4.78,12.40,,,,,
323.33,3.14,12.06,,,,,
323.33,1.59,11.73,,,,,
298.27,29.17,19.76,,,,,
298.27,27.69,19.23,,,,,
298.27,24.37,17.78,,,,,
298.27,20.90,16.65,,,,,
298.27,17.44,15.56,,,,,
298.27,14.35,14.32,,,,,
298.27,14.37,14.32,,,,,
298.27,14.38,14.31,,,,,
298.27,12.93,13.92,,,,,
298.27,10.42,13.32,,,,,
298.27,6.82,12.34,,,,,
298.27,3.99,11.55,,,,,
298.27,1.63,11.06,,,,,
298.27,1.07,10.86,,,,,
273.42,28.59,20.12,,,,,
273.42,26.47,19.28,,,,,
273.42,26.48,19.16,,,,,
273.42,26.48,19.16,,,,,
273.42,26.48,19.16,,,,,
273.42,23.99,18.32,,,,,
273.42,18.94,16.35,,,,,
273.42,16.58,15.32,,,,,
273.42,16.13,14.96,,,,,
273.42,13.97,14.13,,,,,
273.42,9.16,12.71,,,,,
273.42,7.54,12.19,,,,,
273.42,5.57,11.64,,,,,
273.42,3.77,11.22,,,,,
273.42,1.82,10.46,,,,,
273.42,1.21,10.21,,,,,
242.95,29.38,22.10,,,,,
242.95,27.78,21.27,,,,,
242.95,24.36,19.49,,,,,
242.95,21.02,17.72,,,,,
242.95,17.42,16.27,,,,,
242.95,13.06,13.56,,,,,
242.95,13.07,13.56,,,,,
242.95,13.08,13.56,,,,,
242.95,10.30,12.30,,,,,
242.95,7.55,11.27,,,,,
242.95,5.44,10.53,,,,,
242.95,3.33,10.12,,,,,
242.95,1.66,9.80,,,,,
