Author:,Kestin et al.,,,,,,
Title:,On the density expansion for viscosity in gases,,,,,,
,,,,,,,
,,,atm to Mpa factor:,0.101325,,P to Pa*s factor:,0.1
Pure Helium,,,,,,,
T [K] ,P [Mpa],eta [µPa*s],,,,,
298.15,0.120678075,19.88,,,,,
298.15,0.2042712,19.88,,,,,
298.15,0.304278975,19.87,,,,,
298.15,0.40793445,19.87,,,,,
298.15,0.507334275,19.87,,,,,
298.15,0.609469875,19.87,,,,,
298.15,0.708565725,19.87,,,,,
298.15,0.8142477,19.86,,,,,
298.15,0.917700525,19.86,,,,,
298.15,1.009703625,19.86,,,,,
298.15,1.2568353,19.86,,,,,
298.15,1.506398775,19.85,,,,,
298.15,1.74582975,19.85,,,,,
298.15,1.988705775,19.85,,,,,
298.15,2.521472625,19.85,,,,,
298.15,3.0365076,19.85,,,,,
298.15,3.538370325,19.85,,,,,
298.15,4.04469135,19.83,,,,,
298.15,4.569453525,19.84,,,,,
298.15,5.06523675,19.84,,,,,
298.15,5.59172145,19.84,,,,,
298.15,6.0944961,19.85,,,,,
298.15,6.574877925,19.83,,,,,
298.15,7.077855225,19.83,,,,,
298.15,7.610419425,19.84,,,,,
298.15,8.102250975,19.84,,,,,
298.15,8.633599275,19.84,,,,,
298.15,9.127356,19.84,,,,,
298.15,9.5966934,19.85,,,,,
298.15,10.1479014,19.84,,,,,
