Author:,Seibt et al.,,,,,
Title:,Simultaneous Measurements on Helium and Nitrogen with a Newly Designed Viscometer?Densimeter over a Wide Range of Temperature and Pressure,,,,,
,,,,,,
,,,,,,
Pure Helium,,,,,,
T [K] ,P [Mpa],eta [µPa*s],eta_293.15 [µPa*s],,,
293.269,0.48997,19.595,19.590,,,
293.269,0.61345,19.600,19.595,,,
293.243,1.2206,19.594,19.590,,,
293.257,1.8273,19.594,19.589,,,
293.144,2.4660,19.585,19.585,,,
293.166,3.7426,19.581,19.581,,,
293.150,4.9959,19.568,19.568,,,
293.166,6.2734,19.569,19.569,,,
293.170,6.2737,19.572,19.571,,,
293.158,7.5870,19.573,19.573,,,
293.182,8.8702,19.573,19.572,,,
293.151,10.227,19.568,19.568,,,
293.177,12.237,19.577,19.576,,,
293.150,14.320,19.589,19.589,,,
293.187,16.436,19.612,19.611,,,
293.172,18.562,19.624,19.623,,,
293.198,20.757,19.657,19.654,,,
293.149,22.973,19.675,19.675,,,
293.162,25.225,19.709,19.708,,,
293.129,27.527,19.749,19.750,,,
293.164,30.150,19.799,19.798,,,
293.210,30.175,19.793,19.790,,,
293.213,30.175,19.789,19.786,,,
