Author:,Chuang et al.,,,,,,
Title:,"Viscosity of methane, hydrogen, and four mixtures of methane and hydrogen from -100.degree.C to 0.degree.C at high pressures",,,,,,
,,,,,,,
,,,atm to Mpa factor:,0.101325,,P to Pa*s factor:,0.1
Pure CH4,,,,,,,
T [K] ,P [Mpa],eta [µPa*s],,,,,
273.15,0.40671855,10.207,,,,,
273.15,1.013553975,10.295,,,,,
273.15,2.025385425,10.454,,,,,
273.15,4.048947,10.963,,,,,
273.15,6.061160175,11.597,,,,,
273.15,10.12023968,13.308,,,,,
273.15,14.17192245,16.381,,,,,
273.15,20.2427085,21.040,,,,,
273.15,30.32120228,27.663,,,,,
273.15,40.4789322,33.086,,,,,
273.15,50.5745499,37.680,,,,,
223.15,0.406211925,8.502,,,,,
223.15,1.0136553,8.585,,,,,
223.15,4.0546212,9.514,,,,,
223.15,8.09850195,13.765,,,,,
223.15,10.1227728,18.175,,,,,
223.15,14.17303703,24.848,,,,,
223.15,20.23490648,31.203,,,,,
223.15,30.34166993,38.568,,,,,
223.15,40.48450508,44.583,,,,,
223.15,50.57961615,49.875,,,,,
