Author:,Owuna et al.,,,,,,
Title:,Viscosity of Hydrogen and Methane Blends: Experimental and Modelling Investigations,,,,,,
,,,,,,,
,,,atm to Mpa factor:,0.101325,,P to Pa*s factor:,0.1
0.9CH4 + 0.1H2,,,,,,,
T [K] ,P [Mpa],eta [µPa*s],,,,,
323.73,28.69,20.34,,,,,
323.73,24.56,18.80,,,,,
323.73,21.61,17.64,,,,,
323.73,17.54,16.26,,,,,
323.73,14.07,15.13,,,,,
323.73,10.49,14.15,,,,,
323.73,7.02,13.30,,,,,
323.73,4.13,12.67,,,,,
323.73,1.69,12.14,,,,,
298.37,29.40,22.01,,,,,
298.37,27.80,21.24,,,,,
298.37,24.35,19.56,,,,,
298.37,20.96,17.88,,,,,
298.37,17.59,16.53,,,,,
298.37,17.60,16.53,,,,,
298.37,17.60,16.53,,,,,
298.37,13.90,14.75,,,,,
298.37,10.40,13.45,,,,,
298.37,6.66,12.24,,,,,
298.37,3.87,11.54,,,,,
298.37,2.11,10.89,,,,,
298.37,1.27,10.67,,,,,
273.32,29.29,23.49,,,,,
273.32,27.81,22.89,,,,,
273.32,24.35,20.92,,,,,
273.32,20.87,18.99,,,,,
273.32,17.45,16.90,,,,,
273.32,13.35,14.57,,,,,
273.32,10.56,13.14,,,,,
273.32,7.30,11.82,,,,,
273.32,6.39,11.59,,,,,
273.32,3.28,10.74,,,,,
273.32,1.77,10.24,,,,,
223.00,30.45,31.57,,,,,
223.00,27.95,30.21,,,,,
223.00,24.37,27.91,,,,,
223.00,21.03,25.26,,,,,
223.00,17.47,22.37,,,,,
223.00,14.00,18.77,,,,,
223.00,10.71,14.73,,,,,
223.00,7.23,11.59,,,,,
223.00,6.14,10.83,,,,,
223.00,3.37,9.43,,,,,
223.00,1.64,8.75,,,,,
