Pure Methane,,
T [K] ,P [MPa],eta [µPa*s]
268.15,1.0000,10.221  
268.15,2.0000,10.402  
268.15,3.0000,10.621  
268.15,4.0000,10.884   
268.15,5.0000,11.195  
268.15,6.0000,11.561  
268.15,7.0000,11.986  
268.15,8.0000,12.476  
268.15,9.0000,13.034  
268.15,10.000,13.660  
268.15,11.000,14.350  
268.15,12.000,15.099  
268.15,13.000,15.894  
268.15,14.000,16.722  
268.15,15.000,17.570  
268.15,16.000,18.424  
268.15,17.000,19.275  
268.15,18.000,20.113  
268.15,19.000,20.935  
268.15,20.000,21.737  
268.15,21.000,22.518  
268.15,22.000,23.277  
268.15,23.000,24.015  
268.15,24.000,24.731  
268.15,25.000,25.427  
268.15,26.000,26.104  
268.15,27.000,26.762  
268.15,28.000,27.403  
268.15,29.000,28.028  
268.15,30.000,28.637  
273.15,1.0000,10.387  
273.15,2.0000,10.565  
273.15,3.0000,10.778  
273.15,4.0000,11.031   
273.15,5.0000,11.329  
273.15,6.0000,11.676  
273.15,7.0000,12.075  
273.15,8.0000,12.532  
273.15,9.0000,13.048  
273.15,10.000,13.623  
273.15,11.000,14.255  
273.15,12.000,14.938  
273.15,13.000,15.666  
273.15,14.000,16.427  
273.15,15.000,17.210  
273.15,16.000,18.006  
273.15,17.000,18.803  
273.15,18.000,19.596  
273.15,19.000,20.378  
273.15,20.000,21.145  
273.15,21.000,21.896  
273.15,22.000,22.628  
273.15,23.000,23.343  
273.15,24.000,24.039  
273.15,25.000,24.717  
273.15,26.000,25.378  
273.15,27.000,26.022  
273.15,28.000,26.650  
273.15,29.000,27.262  
273.15,30.000,27.861  
283.15,1.0000,10.716  
283.15,2.0000,10.888  
283.15,3.0000,11.090  
283.15,4.0000,11.327  
283.15,5.0000,11.601   
283.15,6.0000,11.916  
283.15,7.0000,12.273  
283.15,8.0000,12.675  
283.15,9.0000,13.124  
283.15,10.000,13.619  
283.15,11.000,14.159  
283.15,12.000,14.741  
283.15,13.000,15.360  
283.15,14.000,16.010  
283.15,15.000,16.684  
283.15,16.000,17.375  
283.15,17.000,18.075  
283.15,18.000,18.779  
283.15,19.000,19.482  
283.15,20.000,20.178  
283.15,21.000,20.866  
283.15,22.000,21.543  
283.15,23.000,22.208  
283.15,24.000,22.860  
283.15,25.000,23.498  
283.15,26.000,24.123  
283.15,27.000,24.735  
283.15,28.000,25.333  
283.15,29.000,25.919  
283.15,30.000,26.493  
298.15,1.0000,11.202  
298.15,2.0000,11.365  
298.15,3.0000,11.553  
298.15,4.0000,11.770  
298.15,5.0000,12.016   
298.15,6.0000,12.293  
298.15,7.0000,12.602  
298.15,8.0000,12.945  
298.15,9.0000,13.322  
298.15,10.000,13.732  
298.15,11.000,14.176  
298.15,12.000,14.650  
298.15,13.000,15.153  
298.15,14.000,15.682  
298.15,15.000,16.232  
298.15,16.000,16.800  
298.15,17.000,17.381  
298.15,18.000,17.971  
298.15,19.000,18.566  
298.15,20.000,19.164  
298.15,21.000,19.761  
298.15,22.000,20.355  
298.15,23.000,20.943  
298.15,24.000,21.525  
298.15,25.000,22.100  
298.15,26.000,22.667  
298.15,27.000,23.225  
298.15,28.000,23.775  
298.15,29.000,24.315  
298.15,30.000,24.847  
313.15,1.0000,11.678  
313.15,2.0000,11.834  
313.15,3.0000,12.010  
313.15,4.0000,12.210  
313.15,5.0000,12.434  
313.15,6.0000,12.682  
313.15,7.0000,12.956  
313.15,8.0000,13.256  
313.15,9.0000,13.581  
313.15,10.000,13.933  
313.15,11.000,14.309  
313.15,12.000,14.710  
313.15,13.000,15.132  
313.15,14.000,15.576  
313.15,15.000,16.037  
313.15,16.000,16.514  
313.15,17.000,17.004  
313.15,18.000,17.505  
313.15,19.000,18.013  
313.15,20.000,18.527  
313.15,21.000,19.044  
313.15,22.000,19.563  
313.15,23.000,20.081  
313.15,24.000,20.596  
313.15,25.000,21.109  
313.15,26.000,21.618  
313.15,27.000,22.122  
313.15,28.000,22.621  
313.15,29.000,23.115  
313.15,30.000,23.602  
323.15,1.0000,11.991
323.15,2.0000,12.142
323.15,3.0000,12.312
323.15,4.0000,12.502
323.15,5.0000,12.713
323.15,5.0000,12.713
323.15,5.0000,12.713
323.15,6.0000,12.946
323.15,7.0000,13.200
323.15,8.0000,13.477
323.15,9.0000,13.776
323.15,10.000,14.097
323.15,11.000,14.440
323.15,12.000,14.802
323.15,13.000,15.184
323.15,14.000,15.584
323.15,15.000,16.000
323.15,16.000,16.429
323.15,17.000,16.872
323.15,18.000,17.324
323.15,19.000,17.785
323.15,20.000,18.252
323.15,21.000,18.723
323.15,22.000,19.197
323.15,23.000,19.673
323.15,24.000,20.149
323.15,25.000,20.624
323.15,26.000,21.096
323.15,27.000,21.566
323.15,28.000,22.033
323.15,29.000,22.495
323.15,30.000,22.953
328.15,1.0000,12.146  
328.15,2.0000,12.295  
328.15,3.0000,12.461  
328.15,4.0000,12.647  
328.15,5.0000,12.853  
328.15,6.0000,13.078  
328.15,7.0000,13.324  
328.15,8.0000,13.591  
328.15,9.0000,13.879  
328.15,10.000,14.186  
328.15,11.000,14.514  
328.15,12.000,14.860  
328.15,13.000,15.225  
328.15,14.000,15.605  
328.15,15.000,16.001  
328.15,16.000,16.411  
328.15,17.000,16.832  
328.15,18.000,17.263  
328.15,19.000,17.703  
328.15,20.000,18.149  
328.15,21.000,18.599  
328.15,22.000,19.054  
328.15,23.000,19.510  
328.15,24.000,19.967  
328.15,25.000,20.424  
328.15,26.000,20.879  
328.15,27.000,21.333  
328.15,28.000,21.783  
328.15,29.000,22.231  
328.15,30.000,22.675  
343.15,1.0000,12.606  
343.15,2.0000,12.748  
343.15,3.0000,12.906  
343.15,4.0000,13.080  
343.15,5.0000,13.270  
343.15,6.0000,13.477  
343.15,7.0000,13.701  
343.15,8.0000,13.942  
343.15,9.0000,14.200  
343.15,10.000,14.474  
343.15,11.000,14.764  
343.15,12.000,15.070  
343.15,13.000,15.390  
343.15,14.000,15.723  
343.15,15.000,16.069  
343.15,16.000,16.427  
343.15,17.000,16.795  
343.15,18.000,17.172  
343.15,19.000,17.557  
343.15,20.000,17.948  
343.15,21.000,18.345  
343.15,22.000,18.746  
343.15,23.000,19.150  
343.15,24.000,19.557  
343.15,25.000,19.964  
343.15,26.000,20.372  
343.15,27.000,20.780  
343.15,28.000,21.187  
343.15,29.000,21.593  
343.15,30.000,21.997  
358.15,1.0000,13.057  
358.15,2.0000,13.194  
358.15,3.0000,13.344  
358.15,4.0000,13.507  
358.15,5.0000,13.685  
358.15,6.0000,13.877  
358.15,7.0000,14.083  
358.15,8.0000,14.303  
358.15,9.0000,14.537  
358.15,10.000,14.784  
358.15,11.000,15.045  
358.15,12.000,15.318  
358.15,13.000,15.603  
358.15,14.000,15.900  
358.15,15.000,16.207  
358.15,16.000,16.525  
358.15,17.000,16.851  
358.15,18.000,17.185  
358.15,19.000,17.526  
358.15,20.000,17.873  
358.15,21.000,18.226  
358.15,22.000,18.583  
358.15,23.000,18.944  
358.15,24.000,19.308  
358.15,25.000,19.673  
358.15,26.000,20.040  
358.15,27.000,20.409  
358.15,28.000,20.777  
358.15,29.000,21.145  
358.15,30.000,21.513  
373.15,1.0000,13.501  
373.15,2.0000,13.633  
373.15,3.0000,13.775  
373.15,4.0000,13.930  
373.15,5.0000,14.097  
373.15,6.0000,14.276  
373.15,7.0000,14.467  
373.15,8.0000,14.669  
373.15,9.0000,14.884  
373.15,10.000,15.109  
373.15,11.000,15.346  
373.15,12.000,15.594  
373.15,13.000,15.851  
373.15,14.000,16.118  
373.15,15.000,16.395  
373.15,16.000,16.679  
373.15,17.000,16.971  
373.15,18.000,17.271  
373.15,19.000,17.577  
373.15,20.000,17.888  
373.15,21.000,18.205  
373.15,22.000,18.526  
373.15,23.000,18.850  
373.15,24.000,19.178  
373.15,25.000,19.508  
373.15,26.000,19.840  
373.15,27.000,20.174  
373.15,28.000,20.508  
373.15,29.000,20.843  
373.15,30.000,21.179  
388.15,1.0000,13.938  
388.15,2.0000,14.064  
388.15,3.0000,14.201  
388.15,4.0000,14.348  
388.15,5.0000,14.505  
388.15,6.0000,14.673  
388.15,7.0000,14.851  
388.15,8.0000,15.039  
388.15,9.0000,15.237  
388.15,10.000,15.445  
388.15,11.000,15.662  
388.15,12.000,15.888  
388.15,13.000,16.123  
388.15,14.000,16.366  
388.15,15.000,16.617  
388.15,16.000,16.875  
388.15,17.000,17.139  
388.15,18.000,17.411  
388.15,19.000,17.687  
388.15,20.000,17.969  
388.15,21.000,18.256  
388.15,22.000,18.546  
388.15,23.000,18.840  
388.15,24.000,19.138  
388.15,25.000,19.438  
388.15,26.000,19.740  
388.15,27.000,20.044  
388.15,28.000,20.349  
388.15,29.000,20.655  
388.15,30.000,20.962  
403.15,1.0000,14.368  
403.15,2.0000,14.489  
403.15,3.0000,14.620  
403.15,4.0000,14.760  
403.15,5.0000,14.909  
403.15,6.0000,15.067  
403.15,7.0000,15.234  
403.15,8.0000,15.410  
403.15,9.0000,15.594  
403.15,10.000,15.787  
403.15,11.000,15.987  
403.15,12.000,16.196  
403.15,13.000,16.412  
403.15,14.000,16.634  
403.15,15.000,16.864  
403.15,16.000,17.100  
403.15,17.000,17.342  
403.15,18.000,17.589  
403.15,19.000,17.842  
403.15,20.000,18.099  
403.15,21.000,18.360  
403.15,22.000,18.626  
403.15,23.000,18.894  
403.15,24.000,19.166  
403.15,25.000,19.440  
403.15,26.000,19.716  
403.15,27.000,19.995  
403.15,28.000,20.274  
403.15,29.000,20.556  
403.15,30.000,20.838  
418.15,1.0000,14.790  
418.15,2.0000,14.908  
418.15,3.0000,15.034  
418.15,4.0000,15.168  
418.15,5.0000,15.309  
418.15,6.0000,15.459  
418.15,7.0000,15.616  
418.15,8.0000,15.781  
418.15,9.0000,15.953  
418.15,10.000,16.133  
418.15,11.000,16.319  
418.15,12.000,16.513  
418.15,13.000,16.713  
418.15,14.000,16.919  
418.15,15.000,17.130  
418.15,16.000,17.348  
418.15,17.000,17.570  
418.15,18.000,17.798  
418.15,19.000,18.030  
418.15,20.000,18.266  
418.15,21.000,18.506  
418.15,22.000,18.750  
418.15,23.000,18.997  
418.15,24.000,19.246  
418.15,25.000,19.498  
418.15,26.000,19.752  
418.15,27.000,20.009  
418.15,28.000,20.266  
418.15,29.000,20.526  
418.15,30.000,20.786  
433.15,1.0000,15.207  
433.15,2.0000,15.321  
433.15,3.0000,15.442  
433.15,4.0000,15.570  
433.15,5.0000,15.705  
433.15,6.0000,15.847  
433.15,7.0000,15.996  
433.15,8.0000,16.151  
433.15,9.0000,16.313  
433.15,10.000,16.481  
433.15,11.000,16.656  
433.15,12.000,16.836  
433.15,13.000,17.022  
433.15,14.000,17.214  
433.15,15.000,17.411  
433.15,16.000,17.612  
433.15,17.000,17.818  
433.15,18.000,18.029  
433.15,19.000,18.243  
433.15,20.000,18.462  
433.15,21.000,18.684  
433.15,22.000,18.909  
433.15,23.000,19.137  
433.15,24.000,19.367  
433.15,25.000,19.600  
433.15,26.000,19.835  
433.15,27.000,20.072  
433.15,28.000,20.311  
433.15,29.000,20.551  
433.15,30.000,20.793  
448.15,1.0000,15.617  
448.15,2.0000,15.727  
448.15,3.0000,15.844  
448.15,4.0000,15.967  
448.15,5.0000,16.096  
448.15,6.0000,16.231  
448.15,7.0000,16.373  
448.15,8.0000,16.520  
448.15,9.0000,16.673  
448.15,10.000,16.831  
448.15,11.000,16.995  
448.15,12.000,17.164  
448.15,13.000,17.339  
448.15,14.000,17.518  
448.15,15.000,17.701  
448.15,16.000,17.889  
448.15,17.000,18.081  
448.15,18.000,18.277  
448.15,19.000,18.477  
448.15,20.000,18.679  
448.15,21.000,18.886  
448.15,22.000,19.095  
448.15,23.000,19.306  
448.15,24.000,19.520  
448.15,25.000,19.737  
448.15,26.000,19.955  
448.15,27.000,20.176  
448.15,28.000,20.397  
448.15,29.000,20.621  
448.15,30.000,20.845  
463.15,1.0000,16.021  
463.15,2.0000,16.128  
463.15,3.0000,16.240  
463.15,4.0000,16.359  
463.15,5.0000,16.483  
463.15,6.0000,16.612  
463.15,7.0000,16.747  
463.15,8.0000,16.886  
463.15,9.0000,17.031  
463.15,10.000,17.181  
463.15,11.000,17.336  
463.15,12.000,17.495  
463.15,13.000,17.659  
463.15,14.000,17.827  
463.15,15.000,17.999  
463.15,16.000,18.175  
463.15,17.000,18.355  
463.15,18.000,18.538  
463.15,19.000,18.725  
463.15,20.000,18.914  
463.15,21.000,19.107  
463.15,22.000,19.302  
463.15,23.000,19.499  
463.15,24.000,19.699  
463.15,25.000,19.901  
463.15,26.000,20.105  
463.15,27.000,20.310  
463.15,28.000,20.517  
463.15,29.000,20.726  
463.15,30.000,20.936  
478.15,1.0000,16.419  
478.15,2.0000,16.523  
478.15,3.0000,16.632  
478.15,4.0000,16.746  
478.15,5.0000,16.865  
478.15,6.0000,16.989  
478.15,7.0000,17.117  
478.15,8.0000,17.251  
478.15,9.0000,17.389  
478.15,10.000,17.531  
478.15,11.000,17.677  
478.15,12.000,17.828  
478.15,13.000,17.983  
478.15,14.000,18.141  
478.15,15.000,18.303  
478.15,16.000,18.469  
478.15,17.000,18.638  
478.15,18.000,18.810  
478.15,19.000,18.985  
478.15,20.000,19.162  
478.15,21.000,19.343  
478.15,22.000,19.526  
478.15,23.000,19.711  
478.15,24.000,19.898  
478.15,25.000,20.087  
478.15,26.000,20.278  
478.15,27.000,20.471  
478.15,28.000,20.665  
478.15,29.000,20.860  
478.15,30.000,21.057  
493.15,1.0000,16.812  
493.15,2.0000,16.913  
493.15,3.0000,17.018  
493.15,4.0000,17.128  
493.15,5.0000,17.243  
493.15,6.0000,17.362  
493.15,7.0000,17.485  
493.15,8.0000,17.612  
493.15,9.0000,17.744  
493.15,10.000,17.879  
493.15,11.000,18.019  
493.15,12.000,18.161  
493.15,13.000,18.308  
493.15,14.000,18.458  
493.15,15.000,18.611  
493.15,16.000,18.767  
493.15,17.000,18.927  
493.15,18.000,19.089  
493.15,19.000,19.254  
493.15,20.000,19.421  
493.15,21.000,19.591  
493.15,22.000,19.763  
493.15,23.000,19.937  
493.15,24.000,20.113  
493.15,25.000,20.291  
493.15,26.000,20.470  
493.15,27.000,20.651  
493.15,28.000,20.834  
493.15,29.000,21.018  
493.15,30.000,21.203  
508.15,1.0000,17.200  
508.15,2.0000,17.298  
508.15,3.0000,17.400  
508.15,4.0000,17.506  
508.15,5.0000,17.617  
508.15,6.0000,17.731  
508.15,7.0000,17.849  
508.15,8.0000,17.971  
508.15,9.0000,18.097  
508.15,10.000,18.226  
508.15,11.000,18.359  
508.15,12.000,18.495  
508.15,13.000,18.634  
508.15,14.000,18.777  
508.15,15.000,18.922  
508.15,16.000,19.070  
508.15,17.000,19.221  
508.15,18.000,19.374  
508.15,19.000,19.530  
508.15,20.000,19.688  
508.15,21.000,19.849  
508.15,22.000,20.011  
508.15,23.000,20.175  
508.15,24.000,20.341  
508.15,25.000,20.509  
508.15,26.000,20.678  
508.15,27.000,20.849  
508.15,28.000,21.021  
508.15,29.000,21.195  
508.15,30.000,21.369  
523.15,1.0000,17.582  
